Function	File	What it does	Status	Health (2026-08-03)	Notes
showControlPanel	GUIFunctions.gs	Opens Control Panel HTML dialog	Active	CLEAN	Static review: ControlPanel.html confirmed on disk, no stale refs
showGAAPInterface	GUIFunctions.gs	Opens Universal Accrual Ledger (GAAP) interface	Active	CLEAN	GAAPInterface.html confirmed on disk
showBillOfExchange	GUIFunctions.gs	Opens Bill of Exchange dialog	Active	CLEAN	BillOfExchange.html confirmed on disk
showEINVerifier	GUIFunctions.gs	Opens EIN Verifier tool	Active	CLEAN	EINVerifier.html confirmed on disk
showDocumentGenerator	GUIFunctions.gs	Opens Document Generator dialog	Active	CLEAN	DocumentGenerator.html confirmed on disk
showDuplicateAnalysisReport	DuplicateAnalyzer.gs	Analyzes Master Register for duplicate accounts	Active	CLEAN	Reads 29 cols correctly (already covered by 2026-08-01 fix)
confirmAndExecuteCleanup	ExecuteCleanup.gs	Confirms and runs cleanup of flagged rows	Active	FLAG-HIGH	Its archive step (archiveDuplicateAccounts, DuplicateAnalyzer.gs:506) still reads/writes with stale getRange(...,35) — never covered by the 2026-08-01 fix. Also has a hardcoded Feb-2026 MR-ID list almost certainly stale after subsequent hand-corrections. Do not run until reviewed.
showYearSelector	GUIFunctions.gs	Shows dialog to set active tax year	Active	CLEAN	No stale references
showCurrentYear	GUIFunctions.gs	Displays current active year	Active	CLEAN	Alert only, no tab refs
showDataCompletenessDashboard	GUIFunctions.gs	Opens data completeness diagnostic dashboard	Active	CLEAN	Inline HTML, no stale refs
resetToDefaultYear	GUIFunctions.gs	Resets year to current calendar year	Active	CLEAN	Delegates to setActiveYear()
showTMARDashboard	GUIFunctions.gs (actually TMARBridge.gs)	Opens TMAR dashboard HTML view	Active	CLEAN	Dashboard.html confirmed on disk
showFinancialSummary	TMARBridge.gs	Shows financial summary dialog	Active	FLAG-HIGH: BROKEN	Confirmed broken: loads HtmlService.createTemplateFromFile('FinancialSummary') but gas/FinancialSummary.html does not exist anywhere in the repo. Live-wired on the menu (Code.gs "Financial Summary" item) — throws immediately on click. Its data source readMasterRegisterAccounts_() (TMARBridge.gs:190-219) also never got the 2026-08-01 29-col fix (balance field reads Next Payment Due col instead of Current Balance). Two independent breaks; needs a decision on rebuild vs retarget, not a quick patch.
